Team,Goal_Open_play,Goal_Counter_attack,Goal_Set_piece,Goal_Penalty,Goal_Own_goal
France,11,1,2,2,0
Netherlands,9,0,1,0,0
England,9,1,2,1,0
Spain,8,0,0,1,0
Portugal,8,1,1,2,0
Argentina,7,2,2,4,0
Brazil,7,0,0,1,0
Croatia,6,1,1,0,0
Germany,5,0,0,1,0
Switzerland,4,0,1,0,0
Japan,4,0,1,0,0
Ghana,4,0,1,0,0
Morocco,4,0,2,0,0
USA,3,0,0,0,0
Saudi Arabia,3,0,0,0,0
Serbia,3,1,1,0,0
Australia,2,1,0,0,1
Ecuador,2,0,1,1,0
Poland,2,0,0,1,0
Iran,2,1,0,1,0
Uruguay,2,0,0,0,0
Senegal,2,0,2,1,0
Costa Rica,2,0,1,0,0
Cameroon,2,1,1,0,0
South Korea,2,1,2,0,0
Belgium,1,0,0,0,0
Canada,1,0,0,0,1
Qatar,1,0,0,0,0
Tunisia,1,0,0,0,0
Denmark,0,0,1,0,0
Wales,0,0,0,1,0
Mexico,0,0,2,0,0
