Team,Shot_in_6_yard_box,Shot_in_18_yard_box,Shot_outsie_box
Costa Rica,25%,33%,42%
Ghana,15%,38%,46%
Belgium,14%,54%,31%
Switzerland,14%,51%,35%
Cameroon,14%,61%,25%
Germany,12%,58%,30%
Denmark,12%,56%,32%
USA,11%,53%,36%
France,11%,62%,26%
Saudi Arabia,10%,55%,34%
Poland,10%,71%,19%
Portugal,9%,47%,44%
Morocco,9%,51%,40%
Australia,8%,50%,42%
Spain,8%,58%,35%
Wales,8%,42%,50%
England,8%,63%,29%
Brazil,8%,62%,30%
Japan,8%,56%,35%
South Korea,8%,50%,42%
Ecuador,7%,57%,37%
Mexico,7%,37%,56%
Netherlands,6%,62%,32%
Canada,6%,60%,34%
Uruguay,6%,55%,39%
Croatia,5%,55%,40%
Argentina,5%,65%,30%
Senegal,4%,58%,38%
Serbia,3%,69%,28%
Iran,3%,45%,52%
Tunisia,0%,63%,38%
Qatar,0%,40%,60%
