Team,Touch_Defend,Touch_Middle,Touch_Attck
Costa Rica,36%,49%,15%
Poland,33%,45%,22%
Belgium,33%,43%,25%
Ghana,33%,42%,25%
Wales,31%,45%,25%
Cameroon,31%,44%,25%
Iran,31%,45%,25%
Tunisia,31%,45%,25%
Australia,30%,47%,23%
Switzerland,30%,45%,26%
Morocco,30%,49%,21%
Qatar,30%,50%,20%
Saudi Arabia,29%,42%,29%
Uruguay,29%,44%,26%
Serbia,28%,45%,27%
Netherlands,27%,47%,26%
Senegal,27%,44%,28%
Japan,27%,49%,23%
Croatia,26%,46%,27%
South Korea,26%,41%,31%
France,25%,48%,27%
Mexico,25%,46%,29%
Portugal,24%,45%,31%
England,24%,46%,29%
USA,24%,44%,32%
Denmark,24%,45%,32%
Ecuador,24%,48%,28%
Argentina,23%,49%,29%
Canada,23%,42%,34%
Brazil,22%,45%,33%
Germany,21%,41%,38%
Spain,18%,51%,30%
